battery_level,time_of_day,solar_efficiency,weather_multiplier,terrain_type,dist_to_mineral,dist_to_station,inventory_size,target_decision
97.93130375986613,0,0.0,0.8,0,2,3,2,CONTINUE_MINING
59.09879202710685,1,0.0,0.1,0,3,1,0,GO_TO_CHARGE
67.90728665645595,21,0.0,0.3,0,3,6,1,CONTINUE_MINING
61.76726986916971,17,0.6234898018587336,0.5,0,5,10,7,CONTINUE_MINING
40.24313646896301,15,0.9009688679024191,1.0,0,2,10,4,CONTINUE_MINING
81.20904335999947,16,0.7818314824680299,0.5,0,6,4,3,CONTINUE_MINING
34.217838554408836,8,0.4338837391175581,0.8,0,2,13,1,GO_TO_CHARGE
78.97232099442802,1,0.0,0.1,0,1,8,8,GO_TO_CHARGE
78.04256093097555,20,1.2246467991473532e-16,0.8,0,2,7,8,GO_TO_CHARGE
5.654561919834196,23,0.0,0.8,0,11,6,3,GO_TO_CHARGE
63.71072267695367,1,0.0,0.1,0,3,19,5,CONTINUE_MINING
75.51848210166642,4,0.0,0.5,0,1,7,7,CONTINUE_MINING
44.91145525253857,19,0.2225209339563145,0.5,0,6,10,7,GO_TO_CHARGE
26.395774205005953,6,0.0,0.8,0,1,10,6,GO_TO_CHARGE
98.95997850967636,15,0.9009688679024191,1.0,0,4,14,7,CONTINUE_MINING
70.11021006441322,4,0.0,0.2,0,3,4,3,CONTINUE_MINING
61.82141468791217,15,0.9009688679024191,0.1,0,2,10,5,CONTINUE_MINING
69.73438862103468,15,0.9009688679024191,1.0,0,4,4,5,CONTINUE_MINING
53.31482079480009,12,0.9749279121818236,0.1,0,3,8,4,GO_TO_CHARGE
64.43217200309249,21,0.0,0.1,0,1,6,7,CONTINUE_MINING
11.113925057040543,15,0.9009688679024191,0.3,0,2,13,3,GO_TO_CHARGE
72.75050786982776,6,0.0,1.0,0,5,12,2,CONTINUE_MINING
11.649525405287996,6,0.0,0.8,0,6,13,5,GO_TO_CHARGE
45.17854738992475,1,0.0,1.0,0,11,4,6,GO_TO_CHARGE
95.70669228652801,13,1.0,0.5,0,2,9,2,CONTINUE_MINING
10.334148614676916,17,0.6234898018587336,0.3,0,2,11,4,GO_TO_CHARGE
66.46401256097656,20,1.2246467991473532e-16,1.0,0,4,3,2,CONTINUE_MINING
64.22920471789331,19,0.2225209339563145,1.0,0,1,3,7,CONTINUE_MINING
49.17987960602656,13,1.0,1.0,0,4,1,2,CONTINUE_MINING
64.97015500051128,8,0.4338837391175581,0.3,0,3,10,1,CONTINUE_MINING
43.71390080895451,0,0.0,1.0,0,3,7,4,GO_TO_CHARGE
66.47856561141943,11,0.9009688679024191,0.2,0,5,8,5,CONTINUE_MINING
49.30873309118766,0,0.0,0.1,0,4,2,6,GO_TO_CHARGE
25.05496646681588,0,0.0,0.2,0,1,5,0,GO_TO_CHARGE
24.28296328890154,20,1.2246467991473532e-16,0.2,0,10,17,0,GO_TO_CHARGE
67.29569402585102,9,0.6234898018587335,0.5,0,5,4,0,CONTINUE_MINING
79.87611946640617,13,1.0,0.2,0,3,7,7,CONTINUE_MINING
69.41397115747827,16,0.7818314824680299,1.0,0,3,3,7,CONTINUE_MINING
63.1752164690292,22,0.0,0.1,0,5,13,6,CONTINUE_MINING
78.99053179845524,4,0.0,0.8,0,3,4,0,CONTINUE_MINING
94.87286992107386,21,0.0,0.2,0,3,6,6,CONTINUE_MINING
66.78117562656342,8,0.4338837391175581,0.3,0,1,15,1,CONTINUE_MINING
7.505154472193706,13,1.0,0.8,0,5,5,3,GO_TO_CHARGE
32.18625957666488,5,0.0,0.3,0,2,11,6,GO_TO_CHARGE
78.76762251145935,22,0.0,0.2,0,3,7,8,GO_TO_CHARGE
6.685535061328704,7,0.2225209339563144,0.2,0,2,8,8,GO_TO_CHARGE
59.41123278235895,21,0.0,0.2,0,3,7,3,GO_TO_CHARGE
12.956501024984613,19,0.2225209339563145,0.1,0,6,6,1,GO_TO_CHARGE
56.65879884443897,13,1.0,0.3,0,5,2,5,GO_TO_CHARGE
25.773547908244815,16,0.7818314824680299,0.8,0,2,22,6,GO_TO_CHARGE
76.80426428058935,1,0.0,0.5,0,2,4,7,CONTINUE_MINING
91.31195822030735,14,0.9749279121818236,1.0,0,9,12,4,CONTINUE_MINING
19.718205504233378,22,0.0,0.3,0,3,4,7,GO_TO_CHARGE
58.590989605440384,13,1.0,0.5,0,2,4,5,GO_TO_CHARGE
99.55107277817072,21,0.0,0.5,0,4,9,1,CONTINUE_MINING
94.51617502084136,13,1.0,0.1,0,4,6,4,CONTINUE_MINING
57.120357517068335,5,0.0,0.1,0,6,5,1,GO_TO_CHARGE
56.16380534786028,16,0.7818314824680299,0.1,0,4,13,0,GO_TO_CHARGE
86.2557669752886,1,0.0,0.5,0,1,11,0,CONTINUE_MINING
72.50871553959009,16,0.7818314824680299,0.5,0,5,8,3,CONTINUE_MINING
89.11972364439768,19,0.2225209339563145,0.1,0,3,2,5,CONTINUE_MINING
69.6435845377278,7,0.2225209339563144,0.5,0,8,10,6,CONTINUE_MINING
11.691731447346193,10,0.7818314824680298,1.0,0,3,7,4,GO_TO_CHARGE
42.15276080381606,6,0.0,1.0,0,8,3,3,GO_TO_CHARGE
74.27019245968182,20,1.2246467991473532e-16,1.0,0,2,1,0,CONTINUE_MINING
18.995620421701297,23,0.0,0.1,0,3,7,4,GO_TO_CHARGE
73.26132624058297,10,0.7818314824680298,0.5,0,2,12,0,CONTINUE_MINING
84.68050971140231,12,0.9749279121818236,0.3,0,6,4,2,CONTINUE_MINING
30.223485819168413,21,0.0,0.5,0,3,6,1,GO_TO_CHARGE
64.47352160777888,2,0.0,0.3,0,6,13,7,CONTINUE_MINING
49.096849212115494,20,1.2246467991473532e-16,0.1,0,3,1,0,GO_TO_CHARGE
66.76092613744584,9,0.6234898018587335,0.1,0,3,12,0,CONTINUE_MINING
34.45589023672671,6,0.0,0.1,0,2,6,5,GO_TO_CHARGE
18.347539015545934,6,0.0,0.3,0,5,3,4,GO_TO_CHARGE
86.23076749912427,10,0.7818314824680298,1.0,0,6,5,1,CONTINUE_MINING
18.810546872614836,22,0.0,0.1,0,3,7,1,GO_TO_CHARGE
94.16404418532832,8,0.4338837391175581,0.1,0,2,9,2,CONTINUE_MINING
52.71554542282044,13,1.0,0.1,0,6,24,7,GO_TO_CHARGE
72.00976111168751,7,0.2225209339563144,0.1,0,2,5,3,CONTINUE_MINING
12.447306169869254,9,0.6234898018587335,0.2,0,5,5,3,GO_TO_CHARGE
96.62510223722516,16,0.7818314824680299,0.8,0,3,10,4,CONTINUE_MINING
10.402333417331278,9,0.6234898018587335,0.3,0,5,14,0,GO_TO_CHARGE
43.15925980157778,14,0.9749279121818236,0.5,0,8,7,6,GO_TO_CHARGE
5.719980481062147,10,0.7818314824680298,0.2,0,6,11,7,GO_TO_CHARGE
69.4900933094297,0,0.0,0.2,0,2,18,4,CONTINUE_MINING
12.614072336330532,20,1.2246467991473532e-16,0.1,0,2,11,1,GO_TO_CHARGE
