battery_level,time_of_day,solar_efficiency,weather_multiplier,terrain_type,dist_to_mineral,dist_to_station,inventory_fill_ratio,target_decision
90.08972698819073,17,0.6234898018587336,0.3,1,5,11,0.835,CONTINUE_MINING
43.01825124962619,20,1.2246467991473532e-16,0.8,0,9,2,0.074,GO_TO_CHARGE
26.946337455424295,10,0.7818314824680298,0.1,1,9,3,0.613,GO_TO_CHARGE
99.38559173398922,3,0.0,1.0,0,2,18,0.374,CONTINUE_MINING
89.66519082819059,3,0.0,0.2,0,1,5,0.813,CONTINUE_MINING
75.68444083036536,22,0.0,0.3,0,5,1,0.94,CONTINUE_MINING
27.41258547854073,12,0.9749279121818236,0.3,0,2,11,0.123,GO_TO_CHARGE
46.657708710931296,10,0.7818314824680298,0.3,0,4,2,0.758,GO_TO_CHARGE
47.218515746133384,11,0.9009688679024191,0.5,0,3,6,0.468,GO_TO_CHARGE
26.850370895731064,0,0.0,1.0,0,2,16,0.465,GO_TO_CHARGE
61.05612415162637,2,0.0,1.0,1,2,8,0.093,CONTINUE_MINING
17.7483061204367,14,0.9749279121818236,0.1,1,2,11,0.011,GO_TO_CHARGE
70.03670846106492,6,0.0,0.3,0,3,13,0.767,CONTINUE_MINING
56.22454630210453,17,0.6234898018587336,0.5,0,3,11,0.656,GO_TO_CHARGE
15.375533406403017,16,0.7818314824680299,0.5,0,2,17,0.678,GO_TO_CHARGE
14.331736461224068,20,1.2246467991473532e-16,0.5,0,12,12,0.859,GO_TO_CHARGE
21.628817794367862,6,0.0,0.8,0,3,15,0.745,GO_TO_CHARGE
40.26108878698877,23,0.0,0.2,0,3,7,0.454,GO_TO_CHARGE
81.88230583725482,13,1.0,0.3,0,1,13,0.612,CONTINUE_MINING
57.76833304864381,19,0.2225209339563145,1.0,0,2,8,0.065,CONTINUE_MINING
77.46036395902877,12,0.9749279121818236,0.8,1,1,8,0.143,CONTINUE_MINING
66.40958277775579,8,0.4338837391175581,1.0,0,4,1,0.365,CONTINUE_MINING
30.935543535635272,1,0.0,0.5,0,8,6,0.827,GO_TO_CHARGE
72.00447334729394,21,0.0,0.8,1,2,4,0.824,CONTINUE_MINING
43.463442760216495,22,0.0,0.2,1,7,4,0.316,GO_TO_CHARGE
92.13494200568836,1,0.0,0.3,0,2,2,0.978,GO_TO_CHARGE
62.68736784438675,3,0.0,0.3,1,8,3,1.0,GO_TO_CHARGE
99.75592062636854,6,0.0,0.3,0,0,6,0.895,CONTINUE_MINING
76.91006473673637,18,0.43388373911755823,0.3,0,4,3,0.013,CONTINUE_MINING
78.53790400449905,10,0.7818314824680298,0.8,0,4,4,0.335,CONTINUE_MINING
41.93976141196889,4,0.0,0.5,0,8,13,0.667,GO_TO_CHARGE
16.19652923212022,17,0.6234898018587336,0.2,0,3,3,0.183,GO_TO_CHARGE
16.913608812882515,7,0.2225209339563144,0.3,0,3,3,0.592,GO_TO_CHARGE
72.98233972418697,11,0.9009688679024191,0.2,1,1,3,0.834,CONTINUE_MINING
83.30223895477732,7,0.2225209339563144,0.1,0,2,15,0.178,CONTINUE_MINING
5.269068746359716,12,0.9749279121818236,0.2,1,3,6,0.48,GO_TO_CHARGE
47.64214856446998,11,0.9009688679024191,0.1,0,2,2,0.005,GO_TO_CHARGE
61.704059138089555,17,0.6234898018587336,0.5,0,5,7,0.962,GO_TO_CHARGE
44.0961518667723,20,1.2246467991473532e-16,0.3,1,4,18,0.557,GO_TO_CHARGE
83.26074395059283,23,0.0,0.3,1,5,11,0.684,CONTINUE_MINING
64.88557416531467,22,0.0,0.1,1,4,2,0.906,CONTINUE_MINING
22.202444541016604,3,0.0,0.3,1,3,12,0.908,GO_TO_CHARGE
13.114463965929364,1,0.0,1.0,1,10,9,0.838,GO_TO_CHARGE
69.11425781138894,22,0.0,0.8,0,1,2,0.315,CONTINUE_MINING
53.68404127080361,2,0.0,0.1,0,3,4,0.046,GO_TO_CHARGE
88.2762491837146,20,1.2246467991473532e-16,0.2,0,9,9,0.955,GO_TO_CHARGE
42.22044642465997,16,0.7818314824680299,0.5,1,3,13,0.333,GO_TO_CHARGE
30.807256133006405,22,0.0,0.8,1,5,12,0.202,GO_TO_CHARGE
97.79677411078491,6,0.0,0.5,0,2,4,0.953,GO_TO_CHARGE
74.26610276986601,21,0.0,0.3,1,5,10,0.461,CONTINUE_MINING
55.262283029205655,10,0.7818314824680298,0.8,0,5,12,0.461,GO_TO_CHARGE
73.13552646740479,5,0.0,0.1,0,7,4,0.069,CONTINUE_MINING
86.88629849942045,8,0.4338837391175581,1.0,0,3,17,0.475,CONTINUE_MINING
33.360476543161944,18,0.43388373911755823,1.0,1,2,6,0.535,GO_TO_CHARGE
97.15009646316369,11,0.9009688679024191,0.1,0,1,11,0.024,CONTINUE_MINING
95.6179106948172,7,0.2225209339563144,0.8,0,0,2,0.545,CONTINUE_MINING
25.74819186365387,20,1.2246467991473532e-16,0.3,1,3,6,0.394,GO_TO_CHARGE
81.08093103274793,0,0.0,0.8,0,7,14,0.933,CONTINUE_MINING
5.073626502053483,1,0.0,1.0,0,2,12,0.847,GO_TO_CHARGE
60.708815877289425,3,0.0,1.0,1,6,3,0.255,CONTINUE_MINING
11.654577298014836,20,1.2246467991473532e-16,0.5,0,5,15,0.043,GO_TO_CHARGE
60.25468961835173,12,0.9749279121818236,0.8,0,2,5,0.269,CONTINUE_MINING
44.876616316978094,8,0.4338837391175581,0.5,1,3,9,0.12,GO_TO_CHARGE
6.109654453074189,12,0.9749279121818236,0.8,1,3,6,0.017,GO_TO_CHARGE
6.63115259046851,16,0.7818314824680299,0.8,0,9,20,0.166,GO_TO_CHARGE
23.718870886620635,20,1.2246467991473532e-16,0.2,0,5,8,0.272,GO_TO_CHARGE
97.65497552857619,4,0.0,0.5,0,6,7,0.404,CONTINUE_MINING
80.90090660781439,11,0.9009688679024191,0.3,0,3,4,0.881,CONTINUE_MINING
12.036219669303733,22,0.0,1.0,1,1,6,0.786,GO_TO_CHARGE
78.95347777117301,23,0.0,0.8,1,2,8,0.886,CONTINUE_MINING
76.135039862555,18,0.43388373911755823,0.3,1,5,11,0.479,CONTINUE_MINING
18.920087694096534,8,0.4338837391175581,0.1,0,2,10,0.584,GO_TO_CHARGE
77.17652201694936,7,0.2225209339563144,1.0,1,3,6,0.336,CONTINUE_MINING
76.8050013120957,1,0.0,0.1,0,6,13,0.164,CONTINUE_MINING
69.22222110673582,12,0.9749279121818236,1.0,0,5,15,0.365,CONTINUE_MINING
82.60715365657896,17,0.6234898018587336,0.8,0,2,5,0.803,CONTINUE_MINING
83.49540947832102,0,0.0,1.0,0,2,15,0.361,CONTINUE_MINING
47.26618544502754,19,0.2225209339563145,1.0,0,4,3,0.924,GO_TO_CHARGE
70.26202904175109,3,0.0,0.2,1,1,9,0.454,CONTINUE_MINING
91.90899316103905,1,0.0,1.0,0,6,13,0.89,CONTINUE_MINING
75.41513670468873,23,0.0,0.8,0,1,4,0.737,CONTINUE_MINING
16.262836396820745,16,0.7818314824680299,0.2,1,5,13,0.781,GO_TO_CHARGE
9.00103439399723,10,0.7818314824680298,0.2,0,4,9,0.751,GO_TO_CHARGE
71.31839051148587,14,0.9749279121818236,1.0,0,2,10,0.509,CONTINUE_MINING
17.97691984060512,8,0.4338837391175581,0.2,1,6,10,0.559,GO_TO_CHARGE
86.86228832809721,8,0.4338837391175581,0.3,1,1,3,0.277,CONTINUE_MINING
75.1672005610047,15,0.9009688679024191,1.0,0,3,10,0.047,CONTINUE_MINING
29.482070396958797,12,0.9749279121818236,0.8,0,7,7,0.869,GO_TO_CHARGE
41.790842746840255,2,0.0,0.2,0,5,4,0.182,GO_TO_CHARGE
14.113733196373612,15,0.9009688679024191,0.8,1,4,13,0.262,GO_TO_CHARGE
42.09587090183831,19,0.2225209339563145,1.0,1,4,14,0.412,GO_TO_CHARGE
73.81467493459502,8,0.4338837391175581,0.3,0,8,3,0.369,CONTINUE_MINING
11.415150927607076,0,0.0,1.0,1,2,9,0.051,GO_TO_CHARGE
22.795499771513136,17,0.6234898018587336,0.3,1,4,4,0.547,GO_TO_CHARGE
25.655089310534354,7,0.2225209339563144,0.3,1,3,7,0.024,GO_TO_CHARGE
85.91999982950266,18,0.43388373911755823,1.0,0,7,10,0.212,CONTINUE_MINING
7.422261855168162,21,0.0,1.0,0,10,16,0.12,GO_TO_CHARGE
75.25722153206756,16,0.7818314824680299,0.3,0,2,22,0.817,GO_TO_CHARGE
19.577905362442515,17,0.6234898018587336,0.8,0,1,5,0.113,GO_TO_CHARGE
46.93786484467738,23,0.0,0.8,0,3,10,0.854,GO_TO_CHARGE
76.8016049417819,9,0.6234898018587335,0.3,0,3,13,0.037,CONTINUE_MINING
74.52145851040272,6,0.0,0.1,0,2,13,0.212,CONTINUE_MINING
54.48355768935439,5,0.0,0.1,0,4,2,0.278,GO_TO_CHARGE
46.36455097792016,5,0.0,1.0,1,2,19,0.293,GO_TO_CHARGE
26.399050177094544,13,1.0,0.8,0,6,15,0.574,GO_TO_CHARGE
